id;chapter;zoom;alt;image;source-credit;source-link;description;lon;lat
9;Caceres, Extramadura, Spain;15;Valle del Jerte;http://images.eldiario.es/eldiarioex/Valle-Jerte-cerezos-flor_EDIIMA20160209_0404_4.jpg;Source: eldiario;http://www.turismovalledeljerte.com/cerezo-en-flor;"Fiesta del Cerezo en Flor; Blossom dates 2017: Mar 31 - Apr 8";-5.793.201;40184597
5;Macon, Georgia, USA;17;Macon;https://amp.thisisinsider.com/images/58cc4764f2d0331b008b46ea-1136-758.jpg;Source: thisisinsider;https://cherryblossom.com/;"International Cherry Blossom Festival; Blossom dates 2017: Mar 24 - Apr 2";-83632402;32840695
10;Amstelveen, Amsterdam, Netherlands;17;Kersenbloesempark;https://www.amstelveenz.nl/resize/upload/9/831/Kawijko-Kersenbloesem-1-NEWSDETAIL_1.jpg;Source: .amstelveenz;http://www.amsterdamsebos.nl/nieuws-0/2017/cbf-bereikbaarheid/#hcc6d920c-5304-4a43-bdc0-ee9c83850f88;"Cherry Blossom Festival; Blossom dates 2017: Apr 8 - Apr 9";4835484;52303954
14;Shanghai, Shanghai, China;14;Gucun Park;https://i.pinimg.com/originals/c9/b9/7c/c9b97c15b6561ccf96e7aa99b926fd95.jpg;Source: pinterest;http://www.idealshanghai.com/whats-on/121577/;"Cherry Blossom Festival; Blossom dates 2017: Mar 15 - Apr 14";121384484;31347412
6;Washigton, District of Columbia, USA;15;West Potomac Park;https://img.ev.mu/images/articles/960x/845594.jpg;Source: easyvoyage;http://www.nationalcherryblossomfestival.org/;"National Cherry Blossom Festival; Blossom dates 2017: Mar - Apr";-122352175;47622283
7;Buffalo, New York, USA;15;Delaware Park;http://www.buffalocherryblossomfestival.org/uploads/4/1/7/5/41756507/fullsizerender-9_orig.jpg;Source: buffalocherryblossomfestival;http://www.buffalocherryblossomfestival.org/;"Buffalo's Cherry Blossom Festival; Blossom dates 2017: Apr 29 - May 6";-78859497;42936219
16;Kyoto, Honshu, Japan;15;Kyoto;https://photos.smugmug.com/Kyoto/Kyoto-Cherry-Blossoms/i-vWmJHmf/0/395d3665/O/jeffrey-friedl-JEF_028639_sm.jpg;Source: insidekyoto;https://www.japan-guide.com/e/e3951.html;"Cherry Blossom Season; Blossom dates 2017: Mar 20 - Apr 14";135780917;3500388
13;Stockholm, Stockholm, Sweden;15;Kungstradgarden;https://passport-cdn.kiwicollection.com/blog/drive/uploads/2017/03/Stockholm-693x390.jpg;Source: kiwicollection;http://www.whysojapan.com/sakura-matsuri-stockholm-2017/;"Cherry Blossom Hanami Festival; Blossom dates 2017: Apr 22";180715;5933148
18;Hirosaki, Aomori, Japan;15;Hirosaki Park;https://gaijinpot.scdn3.secure.raxcdn.com/wp-content/uploads/sites/4/2015/03/hirosaki-1.jpg;Source: gaijinpot;http://www.hirosaki-kanko.or.jp/en/edit.html?id=edit14;"Hirosaki Cherry Blossom Festival; Blossom dates 2017: Apr 22 - May 7";14046418;40607452
4;St. Louis, Missouri, USA;15;Missouri Botanical Garden;http://farm4.staticflickr.com/3332/3654057519_62a4283bec_b.jpg;Source: crunchyroll;http://www.missouribotanicalgarden.org/gardens-gardening/our-garden/notable-plant-collections/flowering-cherries.aspx;"Flowering Cherries; Blossom dates 2017: Mar - Apr";-9025938;38612767
11;Hamburg, Hamburg, Germany;15;Jungfernstieg;http://moovitapp.com/wp-content/uploads/sites/21/2017/05/18112958/kirschbl%C3%BCten-hamburg.jpg;Source: moovitapp;http://www.hamburg.com/cherry-blossom-festival/;"Kirschblatenfest; Blossom dates 2017: May 19 - May 20";9992161;53553507
12;Copenhaguen, Capital Region, Denmark;15;Langelinie Park;http://styleat30.com/wp-content/uploads/2016/06/STYLEAT30-Travel-Blog-Copenhagen-Sakura-Festival-Cherry-Blossoms-Denmark-08.jpg;Source: styleat30;https://sakurafestival.dk/;"Sakura Festival; Blossom dates 2017: Apr 29 - Apr 30";12599287;55690807
8;Curitiba, Parana°, Brazil;15;Botanical Garden of Curitiba;https://c1.staticflickr.com/3/2774/4032958359_3ee7b76644_b.jpg;Source: flickr;http://www.curitiba.pr.gov.br/conteudo/jardim-botanico/287;"Cherry Blossom; Blossom dates 2017: Jun - Jul";-4923877;-25442075
15;Jinhae-gu, Changwon City, South Korea;15;Jinhae Jungwon Rotary Intersection;http://korealtrip.com/wp-content/uploads/2017/01/jinhae-cherryblossom-festival-2.jpg;Source: korealtrip;http://english.visitkorea.or.kr/enu/ATR/SI_EN_3_2_1.jsp?cid=700520;"Cherry Blossom Festival; Blossom dates 2017: Apr 1 - Apr 10";128710038;35133025
2;Seattle, Washigton, USA;15;Seattle Centre;http://hg2.com/wp-content/uploads/2013/04/seattle.jpg;Source: hg2;http://www.cherryblossomfest.org/;"Cherry Blossom & Japanese Culture Festival; Blossom dates 2017: Apr 21 - Apr 23";-122352175;47622283
3;Salem, Oregon, USA;15;State Capitol State Park;https://www.wheretraveler.com/sites/default/files/styles/body_full_width/public/cherry_blossoms_capitol_mall.jpeg?itok=Zvy_DLcM;Source: wheretraveler;http://oregonstateparks.org/index.cfm?do=parkPage.dsp_parkPage&parkId=187;Cherry Blossom Day, Blossom dates 2017: Mar 18;-123029573;44940255
1;Vancouver, British Columbia, Canada;15;Vancouver;https://c1.staticflickr.com/2/1516/25539725993_a163d4bd0b_b.jpg;Source: flickr;http://www.vcbf.ca/;"Vancouver Cherry Blossom Festival; Blossom dates 2017: Mar 30 - Apr 23";-123120738;49282729
17;Kinosaki, Hyaçgo, Japan;15;Kiyamachi Road;http://urbanprovider.com.au/wp-content/uploads/2016/10/Kinosaki-Onsen-Cherry-Blossom-2.jpg;Source: urbanprovider;https://visitkinosaki.com/explore/seasons/kinosaki-cherry-blossoms/;"Cherry Blossom; Blossom dates 2017: Mar - Apr";13786579;34718076
